Codigo  	Descricao
03      	Serviços prestados mediante locação, cessão de direito de uso e congêneres.
03.02   	Cessão de direito de uso de marcas e de sinais de propaganda.
03.02.01	Cessão de direito de uso de sinais de propaganda
03.02.02	Cessão de direito de uso de marca
03.02.04	Serviços relativos à indústria cinematográfica, correspondentes a receitas de licenciamento para exibição da obra cinematográfica, exclusivamente vinculados a filme brasileiro, natural ou de enredo
03.02.05	Serviços relativos à indústria cinematográfica, correspondentes a receitas de licenciamento para exibição da obra cinematográfica, vinculados a filme estrangeiro
03.02.06	Serviços prestados mediante locação, cessão de direito de uso e congêneres, não especificados em outros códigos, exceto locação de bens móveis pura e simples, nos termos da Instrução Normativa SMF Nº 15, de 12/01/2012
03.03   	Exploração de salões de festas, centro de convenções, escritórios virtuais, stands, quadras esportivas, estádios, ginásios, auditórios, casas de espetáculos, parques de diversões, canchas e congêneres, para realização de eventos ou negócios de qualquer natureza.
03.03.01	Exploração de salão de festas
03.03.02	Exploração de centro de convenções
03.03.03	Exploração de escritório virtual
03.03.04	Exploração de stand
03.03.05	Exploração de quadra esportiva
03.03.06	Exploração de estádio
03.03.07	Exploração de ginásio
03.03.08	Exploração de auditório
03.03.09	Exploração de casa de espetáculos
03.03.10	Exploração de parque de diversões
03.03.11	Exploração de cancha, campo para prática esportiva, pista para corrida de animais e congêneres
03.04   	Locação, sublocação, arrendamento, direito de passagem ou permissão de uso, compartilhado ou não, de ferrovia, rodovia, postes, cabos, dutos e condutos de qualquer natureza
03.04.01	Locação, sublocação, arrendamento, direito de passagem ou permissão de uso, compartilhado ou não, de ferrovias
03.04.02	Locação, sublocação, arrendamento, direito de passagem ou permissão de uso, compartilhado ou não, de rodovias
03.04.03	Locação, sublocação, arrendamento, direito de passagem ou permissão de uso, compartilhado ou não, de postes
03.04.04	Locação, sublocação, arrendamento, direito de passagem ou permissão de uso, compartilhado ou não, de cabos
03.04.05	Locação, sublocação, arrendamento, direito de passagem ou permissão de uso, compartilhado ou não, de dutos ou condutos de qualquer natureza
03.04.06	Locação, sublocação ou arrendamento de condutos em geral
03.04.07	Cessão de direitos sobre ferrovia
03.04.08	Cessão de direitos sobre rodovia
03.04.09	Cessão de direitos sobre postes
03.04.10	Cessão de direitos sobre cabos
03.04.11	Cessão de direitos sobre dutos
03.04.12	Cessão de direitos sobre condutos em geral
03.05   	Cessão de andaimes, palcos, coberturas e outras estruturas de uso temporário.
03.05.01	Cessão de andaimes
03.05.02	Cessão de palco
03.05.03	Cessão de estrutura de uso temporário
04      	Serviços de saúde, assistência médica e congêneres.
04.01   	Medicina e biomedicina.
04.01.01	Medicina
04.01.02	Biomedicina
04.02   	Análises clínicas, patologia, eletricidade médica, radioterapia, quimioterapia, ultra-sonografia, ressonância magnética, radiologia, tomografia e congêneres.
04.02.01	Análises clínicas, patologia ou congênere
04.02.02	Eletricidade médica ou congênere
04.02.03	Radioterapia ou congênere
04.02.04	Quimioterapia ou congênere
04.02.05	Ultra-sonografia, ressonância magnética, radiologia, tomografia ou congênere
04.02.06	Hemoterapia
04.02.07	Litotripsia
04.02.08	Exames médicos e de saúde em geral
04.03   	Hospitais, clínicas, laboratórios, sanatórios, manicômios, casas de saúde, prontos-socorros, ambulatórios e         congêneres.
04.03.01	Serviços prestados por hospital
04.03.02	Serviços de saúde ou de assistência médica prestados por hospital apto a efetuar internações
04.03.03	Serviços prestados por clínica 
04.03.04	Serviços de saúde ou de assistência médica prestados por clínica apta a efetuar internações
04.03.05	Serviços de laboratório
04.03.06	Serviços prestados por sanatório
04.03.07	Serviços de saúde ou de assistência médica prestados por sanatório apto a efetuar internações
04.03.08	Serviços prestados por manicômio
04.03.09	Serviços de saúde ou de assistência médica prestados por manicômio apto a efetuar internações
04.03.10	Serviços prestados por casa de saúde
04.03.11	Serviços de saúde ou de assistência médica prestados por casa de saúde apta a efetuar internações
04.03.12	Serviços prestados por pronto-socorro
04.03.13	Serviços de saúde ou de assistência médica prestados por pronto-socorro apto a efetuar internações
04.03.14	Serviços prestados por ambulatórios
04.03.15	Serviços prestados por posto de vacinação
04.04   	Instrumentação cirúrgica.
04.04.01	Instrumentação cirúrgica
04.05   	Acupuntura.
04.05.01	Acupuntura
04.06   	Enfermagem, inclusive serviços auxiliares.
04.06.01	Enfermagem 
04.06.02	Enfermagem - serviços auxiliares
04.07   	Serviços farmacêuticos.
04.07.01	Serviços farmacêuticos
04.08   	Terapia ocupacional, fisioterapia e fonoaudiologia.
04.08.01	Terapia ocupacional
04.08.02	Fisioterapia
04.08.03	Fonoaudiologia
04.09   	Terapias de qualquer espécie destinadas ao tratamento físico, orgânico e mental.
04.09.01	Terapias de qualquer espécie destinadas ao tratamento físico, orgânico ou mental
04.10   	Nutrição.
04.10.01	Nutrição
04.11   	Obstetrícia.
04.11.01	Obstetrícia
04.12   	Odontologia.
04.12.01	Odontologia
04.13   	Ortóptica.
04.13.01	Ortóptica
04.14   	Próteses sob encomenda.
04.14.01	Confecção de próteses
04.15   	Psicanálise.
04.15.01	Psicanálise
04.16   	Psicologia.
04.16.01	Psicologia
04.17   	Casas de repouso e de recuperação, creches, asilos e congêneres
04.17.01	Serviços de casa de repouso, de recuperação, asilo ou congênere
04.17.02	Serviços de creches ou congênere
04.18   	Inseminação artificial, fertilização in vitro e congêneres.
04.18.01	Inseminação artificial, fertilização in vitro ou congênere
04.18.02	Reprodução assistida
04.19   	Bancos de sangue, leite, pele, olhos, óvulos, sêmen e congêneres.
04.19.01	Serviços de banco de sangue ou congênere
04.19.02	Serviços de banco de leite, cordões umbilicais, pele, olhos, demais órgãos ou tecidos ou congênere
04.19.03	Serviços de banco de óvulos, sêmem ou congênere
04.20   	Coleta de sangue, leite, tecidos, sêmen, órgãos e materiais biológicos de qualquer espécie.
04.20.01	Coleta de sangue
04.20.02	Coleta de leite, tecidos, sêmen, órgãos ou materiais biológicos de qualquer espécie
04.21   	Unidade de atendimento, assistência ou tratamento móvel e congêneres.
04.21.01	Serviços de unidade de atendimento, assistência ou tratamento móve, ou congênere
04.22   	Planos de medicina de grupo ou individual e convênios para prestação de assistência médica, hospitalar, odontológica e congêneres. 
04.22.01	Plano de medicina de grupo ou congênere
04.22.02	Plano de medicina individual ou congênere
04.22.03	Convênio para prestação de assistência médica, hospitalar, odontológica e congêneres
04.23   	Outros planos de saúde que se cumpram através de serviços de terceiros contratados, credenciados, cooperados ou apenas pagos pelo operador do plano mediante indicação do beneficiário.
04.23.01	Plano de saúde cumprido através de serviços de terceiros contratados, credenciados, cooperados ou apenas pagos pelo operador do plano mediante indicação do beneficiário
05      	Serviços de medicina e assistência veterinária e congêneres.
05.01   	Medicina veterinária e zootecnia.
05.01.01	Medicina veterinária
05.01.02	Zootecnia
05.02   	Hospitais, clínicas, ambulatórios, prontos-socorros e congêneres, na área veterinária.
05.02.01	Serviços prestados por hospital veterinário
05.02.02	Serviços prestados por clínica veterinária
05.02.03	Serviços prestados por ambulatório veterinário
05.02.04	Serviços prestados por pronto-socorro veterinário
05.02.05	Serviços prestados por unidade de atendimento não especificada, na área veterinária
05.03   	Laboratórios de análise na área veterinária
05.03.01	Serviços de laboratórios de análise, na área veterinária
05.04   	Inseminação artificial, fertilização in vitro e congêneres.
05.04.01	Inseminação artificial, fertilização in vitro ou congênere, na área veterinária
05.04.02	Reprodução animal assistida
05.05   	Bancos de sangue e de órgãos e congêneres.
05.05.01	Serviços de banco de sangue animal ou congênere
05.05.02	Serviços de banco de órgãos de animais ou congênere
05.06   	Coleta de sangue, leite, tecidos, sêmen, órgãos e materiais biológicos de qualquer espécie.
05.06.01	Coleta de sangue, leite, tecidos, sêmen, órgãos ou materiais biológicos de qualquer espécie, de animais
05.06.02	Manejo de animais
05.07   	Unidade de atendimento, assistência ou tratamento móvel e congêneres.
05.07.01	Serviços de unidade de atendimento, assistência ou tratamento móvel, ou congênere, para animais
05.08   	Guarda, tratamento, amestramento, embelezamento, alojamento e congêneres.
05.08.01	Guarda,  alojamento ou serviço congênere, para animais
05.08.02	Tratamento, embelezamento, tosquia ou serviço congênere, para animais
05.08.03	Amestramento de animais
05.09   	Planos de atendimento e assistência médico-veterinária.
05.09.01	Plano de atendimento e assistência médico-veterinária
06      	Serviços de cuidados pessoais, estética, atividades físicas e congêneres.
06.01   	Barbearia, cabeleireiros, manicuros, pedicuros e congêneres
06.01.01	Barbearia ou serviço congênere
06.01.02	Serviços de cabeleireiro ou congênere
06.01.03	Serviços de cabeleireiro, manicuro ou pedicuro
06.01.04	Serviços típicos de salões de beleza - cortes de cabelo, maquiagem, serviços de manicuro, pedicuro e outros
06.01.20	Salão-parceiro optante pelo Simples Nacional (LF nº 12.592/2012) - serviços de cabeleireiros, barbeiros, manicuros, pedicuros e maquiadores
06.01.21	Profissional-parceiro - cabeleireiro (LF nº 12.592/2012)
06.01.22	Profissional-parceiro - barbeiro (LF nº 12.592/2012)
06.01.23	Profissional-parceiro -manicuro (LF nº 12.592/2012)
06.01.24	Profissional-parceiro -pedicuro (LF nº 12.592/2012)
06.01.25	 profissional-parceiro -maquiador (LF nº 12.592/2012)
06.02   	Esteticistas, tratamento de pele, depilação e congêneres
06.02.01	Serviços de esteticistas, tratamento de pele, depilação ou congênere
06.02.20	Salão-parceiro optante pelo Simples Nacional (LF nº 12.592/2012) -serviços de esteticistas e depiladores
06.02.21	 profissional-parceiro - esteticista (LF nº 12.592/2012)
06.02.22	 profissional-parceiro - depilador (LF nº 12.592/2012)
06.03   	Banhos, duchas, sauna, massagens e congêneres
06.03.01	Banhos, duchas, sauna, massagens ou serviço congênere
06.03.02	Exploração de sanitários
06.04   	Ginástica, dança, esportes, natação, artes marciais e demais atividades físicas.
06.04.01	Aulas de ginástica
06.04.02	Aulas de dança
06.04.03	Aulas de esportes
06.04.04	Aulas de natação
06.04.05	Aulas de artes marciais
06.04.06	Serviços de academia de ginástica
06.04.07	Serviços de academia de dança
06.04.08	Serviços de academia de esportes
06.04.09	Serviços de academia de natação
06.04.10	Serviços de academia de artes marciais
06.04.11	Serviços relativos à prática de atividades físicas
06.05   	Centros de emagrecimento, spa e congêneres
06.05.01	Serviços de centro de emagrecimento, spa ou congênere
06.06   	Aplicação de tatuagens, piercings e congêneres.
06.06.01	Aplicação de tatuagens, piercings e congêneres
07      	Serviços relativos a engenharia, arquitetura, geologia, urbanismo, construção civil, manutenção, limpeza, meio ambiente, saneamento e congêneres.
07.01   	Engenharia, agronomia, agrimensura, arquitetura, geologia, urbanismo, paisagismo e congêneres.
07.01.01	Engenharia
07.01.02	Agronomia
07.01.03	Agrimensura ou congênere
07.01.04	Arquitetura
07.01.05	Geologia
07.01.06	Urbanismo ou congênere
07.01.07	Paisagismo ou congênere
07.01.08	Acompanhamento e fiscalização da execução de serviços de engenharia, arquitetura ou urbanismo
07.01.09	Engenharia consultiva - acompanhamento e  fiscalização da execução de serviços de engenharia, arquitetura e urbanismo (relacionados com obras de construção civil, hidráulicas, de escoramento  ou de contenção de encostas)
07.02   	Execução, por administração, empreitada ou subempreitada, de obras de construção civil, hidráulica ou elétrica e de outras obras semelhantes, inclusive sondagem, perfuração de poços, escavação, drenagem e irrigação, terraplanagem, pavimentação, concretagem e a instalação e montagem de produtos, peças e equipamentos (exceto o fornecimento de mercadorias produzidas pelo prestador de serviços fora do local da prestação dos serviços, que fica sujeito ao ICMS).
07.02.11	Execução, por empreitada ou subempreitada, de obras hidráulicas
07.02.13	Execução, por administração, de obras hidráulicas
07.02.15	Execução, por empreitada ou subempreitada, de obras elétricas
07.02.17	Execução, por administração, de obras elétricas
07.02.19	Obras assemelhadas a  obras de construção civil, hidráulicas ou elétricas
07.02.21	Construção de empreendimentos habitacionais de interesse social e de arrendamento residencial assim entendidos aqueles expressamente reconhecidos pela Secretaria Municipal de Habitação como inseridos na política habitacional municipal, estadual e federal, destinados à população com renda de até dez salários mínimos, conforme a Lei nº 5.065, de 10 de julho de 2009
07.02.22	Sondagem
07.02.23	Perfuração de poços
07.02.24	Escavação
07.02.25	Drenagem
07.02.26	Irrigação
07.02.27	Terraplanagem
07.02.28	Pavimentação
07.02.29	Concretagem de fundações ou contenções
07.02.30	Concretagem, exceto fundações ou contenções
07.02.31	Instalação de equipamentos, incluindo elevadores ou congêneres
07.02.32	Montagem de equipamentos, incluindo elevadores ou congêneres
07.02.33	Instalação de peças
07.02.34	Montagem de peças
07.02.35	Montagem de fôrmas in loco de fundações ou contenções
07.02.36	Montagem de fôrmas in loco, exceto fundações ou contenções
07.02.37	Serviços de armação in loco de fundações ou contenções
07.02.38	Serviços de armação in loco, exceto fundações ou contenções
07.02.39	Confecção de fôrmas sob encomenda de fundações ou contenções
07.02.40	Confecção de fôrmas sob encomenda, exceto fundações ou contenções
07.02.41	Confecção de produtos de concreto sob encomenda
07.02.42	Confecção de armações metálicas sob encomenda de fundações ou contenções
07.02.43	Confecção de armações metálicas sob encomenda, exceto fundações ou contenções
07.02.44	Instalação elétrica, incluindo redes de computadores ou congêneres
07.02.45	Instalação hidráulica, incluindo louças, metais ou congêneres
07.02.46	Instalação contra incêndio
07.02.47	Confecção de armações metálicas sob encomenda
07.02.48	Confecção de produtos de gesso sob encomenda
07.02.49	Confecção de produtos de cimento sob encomenda
07.02.50	Confecção de produtos de fibrocimento sob encomenda
07.02.51	Assentamento de alvenaria
07.02.52	Colocação ou instalação de assoalhos
07.02.53	Colocação ou instalação de revestimentos em paredes
07.02.54	Serviços de pintura ou congêneres
07.02.55	Colocação ou instalação de vidros
07.02.56	Colocação ou instalação de esquadrias metálicas
07.02.57	Colocação ou instalação de esquadrias de madeira
07.02.58	Colocação ou instalação de ferragens de portas ou congêneres
07.02.59	Colocação ou instalação de divisórias
07.02.60	Colocação ou instalação de placas de gesso
07.02.61	Recuperação de pisos ou congêneres
07.02.62	Raspagem de pisos ou congêneres
07.02.63	Polimento de pisos ou congêneres
07.02.64	Lustração de pisos ou congêneres
07.02.65	Calafetação
07.02.69	Impermeabillização - construção civil
07.02.70	Execução de obra de construção civil, hidráulica, elétrica ou semelhante, vinculada a imóvel situado na área delimitada na Operação Urbana Consorciada da Região do Porto do Rio de Janeiro, nos termos da Lei Complementar nº 101, de 23 de novembro de 2009 ¿ isenção instituída pela Lei nº 5.128, de 16 de dezembro de 2009
07.02.72	Execução de obra de construção civil por empreitada global
07.02.73	Execução, por empreitada ou subempreitada, de obras hidráulicas, quando vinculada a obra de construção civil
07.02.74	Execução, por administração, de obras hidráulicas, quando vinculada a obra de construção civil
07.02.75	Execução, por empreitada ou subempreitada, de obras elétricas, quando vinculada a obra de construção civil
07.02.76	Execução, por administração, de obras elétricas, quando vinculada a obra de construção civil
07.02.77	Sondagem, perfuração de poços ou escavação, todos quando vinculados a obra de construção civil
07.02.78	Drenagem ou irrigação, todos quando vinculados a obra de construção civil
07.02.79	Terraplanagem, quando vinculada a obra de construção civil
07.02.80	Pavimentação, quando vinculada a obra de construção civil
07.02.81	Concretagem, quando vinculada a obra de construção civil
07.02.82	Instalação ou montagem de peças ou equipamentos, incluindo elevadores ou congêneres, quando vinculada a obra de construção civil
07.02.83	Montagem de fôrmas in loco, quando vinculada a obra de construção civil
07.02.84	Serviços de armação in loco, quando vinculados a obra de construção civil
07.02.85	Confecção de fôrmas sob encomenda, quando vinculada a obra de construção civil
07.02.86	Confecção de produtos de PVC, gesso, concreto, cimento, fibrocimento e outros sob encomenda, quando vinculada a obra de construção civil
07.02.87	Confecção de armações metálicas sob encomenda, quando vinculada a obra de construção civil
07.02.88	Instalação elétrica, incluindo redes de computadores ou congêneres, quando vinculada a obra de construção civil
07.02.89	Instalação hidráulica, incluindo louças, metais ou congêneres, quando vinculada a obra de construção civil
07.02.90	Instalação contra incêndio, quando vinculada a obra de construção civil
07.02.98	Execução, por empreitada ou subempreitada, de obras de construção civil, não enquadrável nos códigos anteriores
07.02.99	Execução, por administração, de obras de construção civil, não enquadrável nos códigos anteriores
07.03   	Elaboração de planos diretores, estudos de viabilidade, estudos organizacionais e outros, relacionados com obras e serviços de engenharia; elaboração de anteprojetos, projetos básicos e projetos executivos para trabalhos de engenharia.
07.03.01	Elaboração de planos diretores relacionados com serviços de engenharia não relacionados a obras de construção civil
07.03.02	Engenharia consultiva - elaboração de planos diretores relacionados com obras ou serviços de engenharia (relacionados com obras de construção civil, hidráulicas, de escoramento  ou de contenção de encostas)
07.03.03	Elaboração de estudos de viabilidade relacionados com serviços de engenharia não relacionados com obras de construção civil
07.03.04	Engenharia consultiva - elaboração de estudos de viabilidade, relacionados com obras ou serviços de engenharia (relacionados com obras de construção civil, hidráulicas, de escoramento  ou de contenção de encostas)
07.03.05	Elaboração de estudos organizacionais e outros, relacionados com serviços de engenharia não relacionados com obras de construção civil
07.03.06	Engenharia consultiva - elaboração de estudos diversos relacionados com obras ou serviços de engenharia (relacionados com obras de construção civil, hidráulicas, de escoramento  ou de contenção de encostas)
07.03.07	Elaboração de anteprojetos para trabalhos de engenharia não relacionados com obras de construção civil
07.03.08	Elaboração de projetos básicos para trabalhos de engenharia não relacionados com obras de construção civil
07.03.09	Elaboração de projetos executivos para trabalhos de engenharia não relacionados com obras de construção civil
07.03.10	Engenharia consultiva - elaboração de anteprojetos, projetos básicos e projetos executivos para trabalhos de engenharia (relacionados com obras de construção civil, hidráulicas, de escoramento  ou de contenção de encostas)
07.03.11	Elaboração de planos diretores, estudos de viabilidade, estudos organizacionais e outros, anteprojetos, projetos básicos e projetos executivos, vinculada a construção ou reforma de imóvel situado na área delimitada na Operação Urbana Consorciada da Região do Porto do Rio de Janeiro, nos termos da Lei Complementar nº 101, de 23 de novembro de 2009 - isenção instituída pela Lei nº 5.128, de 16 de dezembro de 2009
07.04   	Demolição
07.04.01	Demolição
07.04.02	Demolição vinculada a construção ou reforma de imóvel situado na área delimitada na Operação Urbana Consorciada da Região do Porto do Rio de Janeiro, nos termos da Lei Complementar nº 101, de 23 de novembro de 2009 - isenção instituída pela Lei nº 5.128, de 16 de dezembro de 2009
07.04.03	Demolição, quando executada em obra de construção civil
07.04.04	Demolição, quando executada em obra de reforma de imóvel
07.05   	Reparação, conservação e reforma de edifícios, estradas, pontes, portos e congêneres (exceto o fornecimento de mercadorias produzidas pelo prestador dos serviços, fora do local da prestação dos serviços, que fica sujeito ao ICMS).
07.05.01	Reparação de edifícios e congêneres
07.05.02	Reparação de estradas e congêneres
07.05.03	Reparação de pontes e congêneres
07.05.04	Reparação de portos  e congêneres
07.05.05	Reparação de imóveis em geral
07.05.07	Conservação de edifícios e congêneres
07.05.08	Conservação de estradas e congêneres
07.05.09	Conservação de pontes e congêneres
07.05.10	Conservação de portos e congêneres
07.05.11	Conservação de imóveis em geral
07.05.13	Reforma de edifícios e congêneres
07.05.14	Reforma de estradas e congêneres
07.05.15	Reforma de pontes e congêneres
07.05.16	Reforma de portos e congêneres
07.05.17	Reforma de imóveis em geral
07.05.19	Reforma de imóveis para conversão em residências integrantes de empreendimentos habitacionais de interesse social e de arrendamento residencial assim entendidos aqueles aqueles expressamente reconhecidos pela Secretaria Municipal de Habitação como inseridos na política habitacional municipal, estadual e federal, destinados à população com renda de até dez salários mínimos, conforme a Lei nº 5.065, de 10 de julho de 2009.
07.05.20	Assentamento de alvenaria
07.05.21	Colocação ou instalação de assoalhos
07.05.22	Colocação ou instalação de revestimentos em paredes
07.05.23	Serviços de pintura ou congêneres
07.05.24	Colocação ou instalação de vidros
07.05.25	Colocação ou instalação de esquadrias metálicas
07.05.26	Colocação ou instalação de esquadrias de madeira
07.05.27	Colocação ou instalação de ferragens de portas ou congêneres
07.05.28	Colocação ou instalação de divisórias
07.05.29	Colocação ou instalação de placas de gesso
07.05.30	Recuperação de pisos ou congêneres
07.05.31	Raspagem de pisos ou congêneres
07.05.32	Polimento de pisos ou congêneres
07.05.33	Lustração de pisos ou congêneres
07.05.34	Calafetação
07.05.38	Impermeabilização - reparação ou reforma de edifícios, estradas, pontes, portos ou congêneres
07.05.39	Impermeabilização - conservação de edifícios, estradas, pontes, portos ou congêneres
07.05.40	Conservação ou reforma de edifício, estrada, ponte, porto ou congênere, vinculada a construção ou reforma de imóvel situado na área delimitada na Operação Urbana Consorciada da Região do Porto do Rio de Janeiro, nos termos da Lei Complementar nº 101, de 23 de novembro de 2009 ¿ isenção instituída pela Lei nº 5.128, de 16 de dezembro de 2009
07.06   	Colocação e instalação de tapetes, carpetes, assoalhos, cortinas, revestimentos de parede, vidros, divisórias, placas de gesso e congêneres, com material fornecido pelo tomador do serviço.
07.06.01	Colocação ou instalação de tapetes
07.06.02	Colocação ou instalação de carpetes
07.06.03	Colocação ou instalação de assoalhos
07.06.04	Colocação ou instalação de cortinas
07.06.05	Colocação ou instalação de revestimentos de parede
07.06.06	Serviços de pintura ou congêneres
07.06.07	Colocação ou instalação de vidros
07.06.08	Colocação ou instalação de esquadrias metálicas
07.06.09	Colocação ou instalação de esquadrias de madeira
07.06.10	Colocação ou instalação de ferragens de portas ou congêneres
07.06.11	Colocação ou instalação de divisórias
07.06.12	Colocação ou instalação de placas de gesso
07.06.13	Assentamento de alvenaria
07.06.14	Colocação ou instalação de assoalhos
07.06.15	Colocação ou instalação de revestimentos em paredes
07.06.16	Serviços de pintura ou congêneres
07.06.17	Colocação ou instalação de vidros
07.06.18	Colocação ou instalação de esquadrias metálicas
07.06.19	Colocação ou instalação de esquadrias de madeira
07.06.20	Colocação ou instalação de ferragens de portas ou congêneres
07.06.21	Colocação ou instalação de divisórias
07.06.22	Colocação ou instalação de placas de gesso
07.06.23	Recuperação de pisos ou congêneres
07.06.24	Raspagem de pisos ou congêneres
07.06.25	Polimento de pisos ou congêneres
07.06.26	Lustração de pisos ou congêneres
07.06.27	Calafetação
07.07   	Recuperação, raspagem, polimento e lustração de pisos e congêneres.
07.07.01	Recuperação de pisos ou congêneres
07.07.02	Raspagem de pisos ou congêneres
07.07.03	Polimento de pisos ou congêneres
07.07.04	Lustração de pisos ou congêneres
07.08   	Calafetação.
07.08.01	Calafetação
07.09   	Varrição, coleta, remoção, incineração, tratamento, reciclagem, separação e destinação final de lixo, rejeitos e outros resíduos quaisquer.
07.09.01	Varrição de lixo, rejeitos ou outros resíduos quaisquer
07.09.02	Coleta de resíduos lixo, rejeitos ou outros resíduos quaisquer
07.09.03	Remoção de lixo, rejeitos ou outros resíduos quaisquer
07.09.04	Incineração de lixo, rejeitos ou outros resíduos quaisquer
07.09.05	Tratamento de lixo, rejeitos ou outros resíduos quaisquer
07.09.06	Reciclagem de lixo, rejeitos ou outros resíduos quaisquer
07.09.07	Separação de  lixo, rejeitos ou outros resíduos quaisquer
07.09.08	Destinação final de  lixo, rejeitos ou outros resíduos quaisquer
07.09.09	Lei nº 5.133/2009, art. 4º - varrição, coleta, remoção, incineração, tratamento, reciclagem, separação ou destinação final de lixo, rejeitos e outros resíduos quaisquer, vinculado(a) à operação de complexo siderúrgico na Zona Oeste do Município, conforme definição constante do inc. IV do art. 3º da Lei nº 4.372/2006.
07.10   	Limpeza, manutenção e conservação de vias e logradouros públicos, imóveis, chaminés, piscinas, parques, jardins e congêneres.
07.10.01	Manutenção ou conservação de vias ou logradouros públicos
07.10.02	Manutenção ou conservação de imóveis
07.10.03	Manutenção ou conservação de chaminés
07.10.04	Manutenção ou conservação de piscinas
07.10.05	Manutenção ou conservação de parques
07.10.06	Manutenção ou conservação de jardins
07.10.07	Limpeza de vias ou logradouros públicos
07.10.08	Limpeza de imóveis
07.10.09	Limpeza de chaminés
07.10.10	Limpeza de piscinas
07.10.11	Limpeza de parques
07.10.12	Limpeza de jardins
07.10.13	Impermeabilização - manutenção ou conservação
07.11   	Decoração e jardinagem, inclusive corte e poda de árvores.
07.11.01	Decoração
07.11.02	Jardinagem
07.11.03	Corte ou poda de árvores
07.12   	Controle e tratamento de efluentes de qualquer natureza e de agentes físicos, químicos e biológicos
07.12.01	Controle de efluentes de qualquer natureza
07.12.02	Controle de agentes físicos e/ou químicos
07.12.03	Controle de agentes biológicos
07.12.04	Tratamento de efluentes de qualquer natureza
07.12.05	Tratamento de agentes químicos
07.12.06	Tratamento de agentes biológicos
07.12.07	Lei nº 5.133/2009, art. 4º - controle e tratamento de efluentes de qualquer natureza e de agentes físicos, químicos e biológicos, vinculados à operação de complexo siderúrgico na Zona Oeste do Município, conforme definição constante do inc. IV do art. 3º da Lei nº 4.372/2006.
07.13   	Dedetização, desinfecção, desinsetização, imunização, higienização, desratização, pulverização e congêneres.
07.13.01	Dedetização, desinsetização ou congênere
07.13.02	Desinfecção, imunização, higienização ou congênere
07.13.03	Desratização ou congênere
07.13.04	Pulverização ou congênere
07.13.05	Controle de pragas
